ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;183;4 - SOP - CONSTRUÇÃO DE CEI - CANINDE;1324259.57;1324259.57;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;31;PMC- REFORMA QUADRA COBERTA ESCOLA NELY CAULA DE CARVALHO;1232698.16;1232698.16;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;131;REFORMA DE ESCOLA;1226337.24;1226337.24;0.00;39
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;201;4 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;1175667.56;1175667.56;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;112;DUPLICAÇÃO DA ENTRADA DA CIDADE - TABULEIRO DO NORTE;1131373.66;1131373.66;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;9;IFCE MANUTENÇÃO PREDIAL - FORTALEZA;1129377.11;1129377.11;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;155;COMPLEXO ESCOLAR SETOR C1 EMEIF - PARAIPABA;1061196.63;1061196.63;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;150;CENTRO DE EDUCAÇÃO INFANTIL FRANCISCA DOS SANTOS BARROSO - PARACURU;1028423.08;1028423.08;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;151;REFORMA E AMPLIAÇÃO DA ESCOLA EDMUNDO PEREIRA BARBOSA EMEIF - PARAIPABA;1026891.00;1026891.00;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;189;OBRAS PARCERIAS TABULEIRO - ENTRADA DA CIDADE;1025439.49;1025439.49;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;194;4 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;1003293.07;1003293.07;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;154;ESCOLA MUNICIPAL ALDENOR PEREIRA DOS SANTOS EMEIF - PARAIPABA;969910.52;969910.52;0.00;8
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;41;ESCRITÓRIO;963692.25;963692.25;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;171;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO SÃO LORENZO - ASSARE;934588.85;934588.85;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;91;REFORMA DE FÓRUM VELHO - ADEQUAÇÃO DE GABINETE - MARACANAÚ;928945.45;928945.45;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;185;4 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;883767.60;883767.60;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;186;5 - CONSTRUÇÃO DE GALPÃO INDUSTRIAL - TABULEIRO DO NORTE/CE;858593.90;858593.90;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;156;REFORMA DE EDIFICAÇÃO PARA IMPLANTAÇÃO DA SEDE DO RAIO - DE PENTECOSTE;777575.28;777575.28;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;999;BANCOS (CEF, ITAU, BRADESCO E BNB);728628.93;728628.93;0.00;14
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;148;CONSTRUÇÃO DE ESCOLA 12 SALAS - SENADOR POMPEU;727065.84;727065.84;0.00;13
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;21;HOSPITAL MUNICIPAL EDVAR SILVEIRA - MORRINHOS;717233.25;717233.25;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;205;CONSTRUÇÃO DE BLOCO DE 04 (QUATRO) SALAS DE AULA NA REITORIA - STEEL FRAME;714567.74;714567.74;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;170;CONSTRUÇÃO DE UM ESPAÇO EDUCATIVO 12 SALAS DE AULA - JUCAS;714062.03;714062.03;0.00;7
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;132;REFORMA DE POSTO;706027.67;706027.67;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;152;TJCE - REFORMA TOTAL DO FÓRUM DA COMARCA DE AURORA - TRIBUNAL DE JUSTIÇA;690622.15;690622.15;0.00;10
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;99;IFCE MANUTENÇÃO PREDIAL - MARACANAU;672495.79;672495.79;0.00;16
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;166;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE - UBS INDIGENA - CRATEUS;671598.85;671598.85;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;260;1 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;657639.03;657639.03;0.00;4
