ID;NOME;EMPRESA;STATUS
30005;STEEL FRAME CAMOCIM;3;Ativa
30006;STEEL FRAME TABULEIRO DO NORTE;3;Ativa
30007;STEEL FRAME MORADA NOVA;3;Ativa
30008;STEEL FRAME MARACANAU;3;Ativa
30009;STEEL FRAME UBAJARA;3;Ativa
30010;UFC;3;Ativa
30011;SHOPPING MALL EUSEBIO;3;Ativa
30012;ESTRUTURA STEEL FRAME - BAHIA;3;Ativa
30013;MARQUISE - UMIRIM;3;Ativa
30014;COBERTA METALICA - MADALENA;3;Ativa
30015;ESTRUTURA METÁLICA - SOLONÓPOLE;3;Ativa
30016;GALPÃO INDUSTRIAL - NP&P;3;Ativa
30017;CHESS CONSTRUÇÕES LTDA;3;Ativa
30018;CONDOMINIO GRAN TERAZZO;3;Ativa
30019;URBANIZAÇÃO CAMPUS UNILAB - POLYSTEEL;3;Ativa
30020;CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL - POLYSTEEL;3;Ativa
30021;ALMOXARIFADO POLYSTEEL;3;Ativa
30022;XINGUM AÇAITERIA;3;Ativa
30023;CONSTRUÇÃO DE BLOCO DE 04 SALAS DE AULA NA REITORIA - STEEL FRAME - POLYSTEEL;3;Ativa
40001;ESCRITORIO THEOROS;4;Ativa
50001;ESCRITORIO POTENCIAL;5;Ativa
60001;ESCRITORIO AGORA NEGOCIOS IMOBILIARIOS E PARTICIPACOES LTDA;6;Ativa
60002;CASACOR - BANGALÔ REFÚGIO;6;Ativa
60003;CASACOR - LOFT;6;Ativa
60004;BRASILIDADE URBANISMO - LARGO DOS VENTOS;6;Ativa
60005;VILLA SANTORINI;6;Ativa
60006;CASAS DUPLEX DE 132,00 M² - TAPUIO;6;Ativa
70001;ESCRITORIO GENESIS EMPREENDIMENTOS SPE LTDA;7;Ativa
70002;CONDOMINIO RESIDENCIAL EM AQUIRAZ DE 152 UNIDADES CASAS - GENESIS;7;Ativa
70003;CONDOMINIO GENESIS;7;Ativa
80001;ESCRITÓRIO SMN;8;Ativa
80002;OBRA GENESIS;8;Ativa
80003;OBRA IFCE CAUCAIA;8;Ativa
80004;OBRA IFCE HORIZONTE;8;Ativa
80005;OBRA IFCE PARACURU;8;Ativa
80006;OBRA IFCE MORADA NOVA;8;Ativa
80007;OBRA IFCE BATURITE;8;Ativa
80008;OBRA IFCE CAMOCIM;8;Ativa
80009;OBRA IFCE TIANGUÁ;8;Ativa
80010;OBRA UBAJARA;8;Ativa
80011;CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA;8;Ativa
90001;ESCRITORIO BRASIL STEEL;9;Ativa
