ID;NOME;EMPRESA;STATUS
75;VT 02 - MONTANA POP-3760;1;Ativa
76;VT 01 - SAVEIRO PVZ-5019;1;Ativa
77;VT 04 SAVEIRO GGA4519;1;Ativa
78;VT 05 - SAVEIRO FWX1895;1;Ativa
79;VT 06 L200 JVA-2907;1;Ativa
80;VT 07 MOTO PME-7113;1;Ativa
81;HILUX PNR 1985;1;Ativa
82;L200  PWN 5994;1;Ativa
83;AMPLIAÇÃO DO HOSPITAL E MATERNIDADE LUZIA TEODORO DA COSTA NO MUNICÍPIO DE ORÓS;1;Ativa
84;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS IGUATU;1;Ativa
85;PREFEITURA MUNICIPAL DE MORRINHOS  - CENTRO DE FEIRAS;1;Ativa
86;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS POLO;1;Ativa
87;UNIDADE BASICA DE SAUDE (UBS) - CAUCAIA;1;Ativa
88;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS GUARAMIRANGA;1;Ativa
89;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ - CAMPUS LIMOEIRO;1;Ativa
90;CRATO - CASA DE FARINHA PSJ;1;Ativa
91;REFORMA DE FÓRUM VELHO - ADEQUAÇÃO DE GABINETE - MARACANAÚ;1;Ativa
92;IFCE MANUTENÇÃO PREDIAL - CRATEUS;1;Ativa
93;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CANINDE;1;Ativa
94;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATO;1;Ativa
95;IFCE MANUTENÇÃO PREDIAL - IGUATU;1;Ativa
96;IFCE MANUTENÇÃO PREDIAL - ACARAU;1;Ativa
97;IFCE MANUTENÇÃO PREDIAL - SOBRAL;1;Ativa
98;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS LIMOEIRO;1;Ativa
99;IFCE MANUTENÇÃO PREDIAL - MARACANAU;1;Ativa
100;IFCE MANUTENÇÃO PREDIAL - FORTALEZA;1;Ativa
