Fonte: Sienge REST direto da API, sem uso do banco local. Receita Bruta aproximada por /accounts-statements tipo receita; Custos Variaveis por /bills; Despesas Variaveis por /accounts-statements tipo expense. Registros: accounts-statements=122117; bills=51019.
MES;RECEITA_BRUTA;CUSTOS_VARIAVEIS;DESPESAS_VARIAVEIS;TOTAL_VARIAVEIS;MC
2023-04;R$ 1.369.979,08;R$ 3.142.695,44;R$ 1.762.702,36;R$ 4.905.397,80;R$ -3.535.418,72
2023-05;R$ 3.608.089,32;R$ 2.680.791,86;R$ 2.603.346,51;R$ 5.284.138,37;R$ -1.676.049,05
2023-06;R$ 2.003.566,48;R$ 2.444.578,58;R$ 1.762.400,66;R$ 4.206.979,24;R$ -2.203.412,76
2023-07;R$ 2.353.563,58;R$ 2.247.614,75;R$ 2.246.962,41;R$ 4.494.577,16;R$ -2.141.013,58
2023-08;R$ 2.462.442,82;R$ 2.386.657,78;R$ 1.890.728,65;R$ 4.277.386,43;R$ -1.814.943,61
2023-09;R$ 2.315.970,44;R$ 3.114.930,53;R$ 2.010.378,42;R$ 5.125.308,95;R$ -2.809.338,51
2023-10;R$ 2.861.436,45;R$ 2.332.318,37;R$ 2.344.316,16;R$ 4.676.634,53;R$ -1.815.198,08
2023-11;R$ 1.855.931,72;R$ 2.191.960,86;R$ 1.912.308,23;R$ 4.104.269,09;R$ -2.248.337,37
2023-12;R$ 3.371.492,60;R$ 1.897.120,42;R$ 1.631.985,69;R$ 3.529.106,11;R$ -157.613,51
2024-01;R$ 658.663,56;R$ 1.238.832,28;R$ 1.066.128,12;R$ 2.304.960,40;R$ -1.646.296,84
2024-02;R$ 2.406.612,73;R$ 2.359.843,42;R$ 1.916.093,05;R$ 4.275.936,47;R$ -1.869.323,74
2024-03;R$ 2.856.225,45;R$ 2.781.096,79;R$ 2.528.132,48;R$ 5.309.229,27;R$ -2.453.003,82
2024-04;R$ 3.084.518,65;R$ 3.145.159,75;R$ 3.040.322,63;R$ 6.185.482,38;R$ -3.100.963,73
2024-05;R$ 3.025.064,26;R$ 2.504.420,46;R$ 2.417.066,15;R$ 4.921.486,61;R$ -1.896.422,35
2024-06;R$ 2.785.744,64;R$ 2.245.401,42;R$ 1.825.437,59;R$ 4.070.839,01;R$ -1.285.094,37
2024-07;R$ 4.803.645,85;R$ 2.383.906,15;R$ 2.247.370,96;R$ 4.631.277,11;R$ 172.368,74
2024-08;R$ 3.373.129,65;R$ 2.542.185,85;R$ 2.038.419,42;R$ 4.580.605,27;R$ -1.207.475,62
2024-09;R$ 2.792.310,53;R$ 2.310.159,48;R$ 1.742.088,71;R$ 4.052.248,19;R$ -1.259.937,66
2024-10;R$ 3.661.343,96;R$ 2.747.181,84;R$ 2.143.277,60;R$ 4.890.459,44;R$ -1.229.115,48
2024-11;R$ 3.906.407,65;R$ 2.848.956,84;R$ 2.722.861,77;R$ 5.571.818,61;R$ -1.665.410,96
2024-12;R$ 5.118.569,13;R$ 3.406.429,32;R$ 3.085.713,46;R$ 6.492.142,78;R$ -1.373.573,65
2025-01;R$ 1.735.197,89;R$ 4.404.614,68;R$ 1.810.962,15;R$ 6.215.576,83;R$ -4.480.378,94
2025-02;R$ 1.810.435,78;R$ 3.221.336,18;R$ 2.556.560,82;R$ 5.777.897,00;R$ -3.967.461,22
2025-03;R$ 1.457.600,87;R$ 2.991.007,19;R$ 1.905.745,89;R$ 4.896.753,08;R$ -3.439.152,21
2025-04;R$ 2.480.988,88;R$ 3.895.020,65;R$ 2.082.477,40;R$ 5.977.498,05;R$ -3.496.509,17
2025-05;R$ 1.755.334,55;R$ 3.837.667,65;R$ 2.601.233,73;R$ 6.438.901,38;R$ -4.683.566,83
2025-06;R$ 1.502.137,08;R$ 2.590.870,51;R$ 1.989.657,76;R$ 4.580.528,27;R$ -3.078.391,19
2025-07;R$ 1.876.790,15;R$ 2.192.220,52;R$ 2.320.006,74;R$ 4.512.227,26;R$ -2.635.437,11
2025-08;R$ 1.899.905,04;R$ 4.482.772,81;R$ 2.467.745,74;R$ 6.950.518,55;R$ -5.050.613,51
2025-09;R$ 2.273.517,58;R$ 2.967.006,24;R$ 2.688.324,88;R$ 5.655.331,12;R$ -3.381.813,54
2025-10;R$ 3.778.066,79;R$ 4.118.515,01;R$ 3.070.155,35;R$ 7.188.670,36;R$ -3.410.603,57
2025-11;R$ 2.319.124,75;R$ 6.691.162,86;R$ 4.137.989,70;R$ 10.829.152,56;R$ -8.510.027,81
2025-12;R$ 3.641.974,34;R$ 5.223.122,55;R$ 4.168.010,29;R$ 9.391.132,84;R$ -5.749.158,50
2026-01;R$ 1.468.154,38;R$ 9.412.279,36;R$ 3.042.803,25;R$ 12.455.082,61;R$ -10.986.928,23
2026-02;R$ 2.937.078,15;R$ 2.211.117,84;R$ 2.532.944,41;R$ 4.744.062,25;R$ -1.806.984,10
2026-03;R$ 2.893.528,29;R$ 4.394.192,14;R$ 3.511.378,75;R$ 7.905.570,89;R$ -5.012.042,60
2026-04;R$ 1.889.537,07;R$ 4.923.277,87;R$ 2.700.611,22;R$ 7.623.889,09;R$ -5.734.352,02
2026-05;R$ 4.165,74;R$ 376.307,36;R$ 227.524,57;R$ 603.831,93;R$ -599.666,19
TOTAL;R$ 159.144.877,43;R$ 188.734.602,35;R$ 139.027.085,07;R$ 327.761.687,42;R$ -168.616.809,99
