EMPRESA: JFK CONSTRUÇÕES LTDA
ID_EMPRESA: 2
PERIODO: 1999-05-09 ate 2027-11-01
Fonte: Sienge API REST ao vivo (/bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; bills=51088.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
20004;CASA BOULEVARD
20001;ESCRITÓRIO JFK
20002;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS
20003;REFORMA SALA - IFCE MARACANAÚ

CONTAS_A_PAGAR
Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
ALMEIDA COMERCIO DISTRIBUIDOR DE MATERIAIS DE CONSTRUCAO LTDA;PPC 15657;01/04/2026;1;;;R$ 537,38;R$ 0,00;R$ 0,00;R$ 537,38
JOSE ELIAS PEDROSA OLIVEIRA JUNIOR;PPC 15658;01/04/2026;1;;;R$ 1.050,00;R$ 0,00;R$ 0,00;R$ 1.050,00
DURAFIX INDUSTRIA DE ARGAMASSAS E TINTAS LTDA;PPC 15661;01/04/2026;1;;;R$ 586,30;R$ 0,00;R$ 0,00;R$ 586,30
ARAUCARIA FERRO E ACO LTDA;REC 001;01/04/2026;2;;;R$ 34.767,72;R$ 0,00;R$ 0,00;R$ 34.767,72
L B PORTELA GRAFICA;REC 01;01/04/2026;1;;;R$ 31,00;R$ 0,00;R$ 0,00;R$ 31,00
UBER DO BRASIL TECNOLOGIA LTDA.;REC UBER;01/04/2026;1;;;R$ 93,47;R$ 0,00;R$ 0,00;R$ 93,47
AMV COMBUSTIVEIS LTDA;CPF 12934;02/04/2026;1;;;R$ 40,00;R$ 0,00;R$ 0,00;R$ 40,00
JOSE ELIAS PEDROSA OLIVEIRA JUNIOR;FAT 15658;02/04/2026;1;;;R$ 1.050,00;R$ 0,00;R$ 0,00;R$ 1.050,00
METALMECANICA MAIA LTDA;PPC 15665;02/04/2026;1;;;R$ 815,09;R$ 0,00;R$ 0,00;R$ 815,09
GERDAU ACOS LONGOS S.A.;PPC 15666;02/04/2026;1;;;R$ 4.920,47;R$ 0,00;R$ 0,00;R$ 4.920,47
DIEPI DISTRIBUIDORA DE EPI LTDA;PPC 15669;02/04/2026;1;;;R$ 90,00;R$ 0,00;R$ 0,00;R$ 90,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15670;02/04/2026;4;;;R$ 3.105,00;R$ 0,00;R$ 0,00;R$ 3.105,00
JOSE ELIAS PEDROSA OLIVEIRA JUNIOR;REC 01;02/04/2026;2;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
ALMEIDA COMERCIO DISTRIBUIDOR DE MATERIAIS DE CONSTRUCAO LTDA;BOL 302564;06/04/2026;1;;;R$ 537,68;R$ 0,00;R$ 0,00;R$ 537,68
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 396;06/04/2026;1;;;R$ 964,62;R$ 0,00;R$ 0,00;R$ 964,62
FOLHA DE PAGAMENTO;CO 2ª MARÇO BOULEVARD;06/04/2026;1;;;R$ 699,88;R$ 0,00;R$ 0,00;R$ 699,88
HDS ENGENHARIA LTDA;CTM 1712;06/04/2026;1;;;R$ 749,88;R$ 0,00;R$ 0,00;R$ 749,88
DIEPI DISTRIBUIDORA DE EPI LTDA;PPC 15672;06/04/2026;1;;;R$ 44,00;R$ 0,00;R$ 0,00;R$ 44,00
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;PPC 15678;06/04/2026;1;;;R$ 403,65;R$ 0,00;R$ 0,00;R$ 403,65
ACO CEARENSE COMECIAL LTDA;PPC 15679;06/04/2026;3;;;R$ 12.491,76;R$ 0,00;R$ 0,00;R$ 12.491,76
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;BOL 521118;07/04/2026;1;;;R$ 403,65;R$ 0,00;R$ 0,00;R$ 403,65
ARAUCARIA FERRO E ACO LTDA;BOL 5803;07/04/2026;4;;;R$ 225.210,00;R$ 0,00;R$ 0,00;R$ 225.210,00
GRAFICA EUSEBIO LTDA;CTM 1776;07/04/2026;1;;;R$ 257,14;R$ 0,00;R$ 0,00;R$ 257,14
METALMECANICA MAIA LTDA;FAT 15665;07/04/2026;1;;;R$ 815,09;R$ 0,00;R$ 0,00;R$ 815,09
DIEPI DISTRIBUIDORA DE EPI LTDA;FAT 15669;07/04/2026;1;;;R$ 90,00;R$ 0,00;R$ 0,00;R$ 90,00
DIEPI DISTRIBUIDORA DE EPI LTDA;FAT 15672;07/04/2026;1;;;R$ 44,00;R$ 0,00;R$ 0,00;R$ 44,00
FOLHA DE PAGAMENTO;CO ACERTO MARCIA EDUARD;08/04/2026;1;;;R$ 933,33;R$ 0,00;R$ 0,00;R$ 933,33
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 403;09/04/2026;1;;;R$ 952,20;R$ 0,00;R$ 0,00;R$ 952,20
AMV COMBUSTIVEIS LTDA;CPF 47871;09/04/2026;1;;;R$ 30,00;R$ 0,00;R$ 0,00;R$ 30,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15691;09/04/2026;1;;;R$ 3.105,00;R$ 0,00;R$ 0,00;R$ 3.105,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 405;10/04/2026;1;;;R$ 3.105,00;R$ 0,00;R$ 0,00;R$ 3.105,00
AMV COMBUSTIVEIS LTDA;CPF 16708;10/04/2026;1;;;R$ 31,19;R$ 0,00;R$ 0,00;R$ 31,19
ROUTE 85 COMERCIO DE MERCADORIAS LTDA;CPF 69757;10/04/2026;1;;;R$ 27,00;R$ 0,00;R$ 0,00;R$ 27,00
SANRO ENGENHARIA LTDA;CTM 1693;10/04/2026;1;;;R$ 6.451,31;R$ 0,00;R$ 0,00;R$ 6.451,31
AMV COMBUSTIVEIS LTDA;CPF 66506;13/04/2026;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 413;14/04/2026;1;;;R$ 953,86;R$ 0,00;R$ 0,00;R$ 953,86
POTENCIA SOLUCOES E SERVICOS LTDA;CO 1404202601;14/04/2026;1;;;R$ 8.400,00;R$ 0,00;R$ 0,00;R$ 8.400,00
BRASIL MIX EPI E FERRAMENTAS LTDA;PPC 15705;14/04/2026;1;;;R$ 72,00;R$ 0,00;R$ 0,00;R$ 72,00
BRASIL MIX EPI E FERRAMENTAS LTDA;BOL 37815;15/04/2026;1;;;R$ 72,00;R$ 0,00;R$ 0,00;R$ 72,00
LOJAS ALVES COMERCIO DE MATERIAL DE CONSTRUCAO LTDA;CPF 2674;15/04/2026;1;;;R$ 72,70;R$ 0,00;R$ 0,00;R$ 72,70
AMV COMBUSTIVEIS LTDA;CPF 14943;16/04/2026;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
CENTERBOX SUPERMERCADOS LTDA;CPF 18673;16/04/2026;1;;;R$ 11,37;R$ 0,00;R$ 0,00;R$ 11,37
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15713;16/04/2026;1;;;R$ 1.035,00;R$ 0,00;R$ 0,00;R$ 1.035,00
FRANCISCO GEAN FROTA MOREIRA;REC 1;16/04/2026;1;;;R$ 13,50;R$ 0,00;R$ 0,00;R$ 13,50
VALE ALIMENTAÇÃO;CO 1ª ABRIL ALIM JD BOU;17/04/2026;1;;;R$ 1.261,50;R$ 0,00;R$ 0,00;R$ 1.261,50
FOLHA DE PAGAMENTO;CO 1ª ABRIL JD BOULEVAR;17/04/2026;1;;;R$ 673,80;R$ 0,00;R$ 0,00;R$ 673,80
VALE TRANSPORTE;CO VT IZAAC BARBOSA;17/04/2026;1;;;R$ 90,00;R$ 0,00;R$ 0,00;R$ 90,00
CASA BOULEVARD;CTM 1799;17/04/2026;6;;;R$ 4.550,00;R$ 0,00;R$ 0,00;R$ 4.550,00
ROBERTO SOUSA BRITO 54744792391;NFE 261;17/04/2026;1;;;R$ 1.200,00;R$ 0,00;R$ 0,00;R$ 1.200,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 435;22/04/2026;1;;;R$ 1.330,00;R$ 0,00;R$ 0,00;R$ 1.330,00
PRUDENTIAL DO BRASIL VIDA EM GRUPO SA;CO SEG VIDA JD BOULEVAR;23/04/2026;1;;;R$ 12,99;R$ 0,00;R$ 0,00;R$ 12,99
AMV COMBUSTIVEIS LTDA;CPF 16078;23/04/2026;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15736;23/04/2026;1;;;R$ 1.330,00;R$ 0,00;R$ 0,00;R$ 1.330,00
ITAECIO- MATERIAIS PARA CONSTRUCAO LTDA;NFE 689;24/04/2026;1;;;R$ 167,00;R$ 0,00;R$ 0,00;R$ 167,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15762;27/04/2026;1;;;R$ 2.160,00;R$ 0,00;R$ 0,00;R$ 2.160,00
VALE TRANSPORTE;CO 1ª VT MAIO JD BOULEV;28/04/2026;1;;;R$ 90,00;R$ 0,00;R$ 0,00;R$ 90,00
G. MACIEL DE MASTIERI;PPC 15764;28/04/2026;1;;;R$ 801,40;R$ 0,00;R$ 0,00;R$ 801,40
RICARD PEREIRA SILVEIRA;BOL 1709.2;29/04/2026;1;;;R$ 1.850,00;R$ 0,00;R$ 0,00;R$ 1.850,00
CASA BOULEVARD;CTM 1799;30/04/2026;1;;;R$ 7.300,00;R$ 0,00;R$ 0,00;R$ 7.300,00
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;PPC 15799;04/05/2026;3;;;R$ 21,24;R$ 0,00;R$ 0,00;R$ 21,24
PLANNEA SOLUCOES CONTABEIS LTDA;BOL MENSAL CONTABILIDADE;05/05/2026;8;;;R$ 6.800,00;R$ 0,00;R$ 0,00;R$ 6.800,00
M L CAVALCANTE COMERCIO VAREJISTA LTDA;CPF 102669;06/05/2026;1;;;R$ 47,98;R$ 0,00;R$ 0,00;R$ 47,98
BRASIL MIX EPI E FERRAMENTAS LTDA;PPC 15810;06/05/2026;1;;;R$ 770,00;R$ 0,00;R$ 0,00;R$ 770,00
CAIXA ECONOMICA FEDERAL;CO GRRF IZAAC BARBOSA;07/05/2026;1;;;R$ 28,09;R$ 0,00;R$ 0,00;R$ 28,09
RESCISÃO CONTRATUAL (TRCT);CO TRCT IZAAC BARBOSA;07/05/2026;1;;;R$ 498,75;R$ 0,00;R$ 0,00;R$ 498,75
FORTE COMERCIO DE MATERIAL DE CONSTRUCAO EIRELI;PPC 15811;07/05/2026;1;;;R$ 6.225,00;R$ 0,00;R$ 0,00;R$ 6.225,00

TOTAL;;;;;R$ 575.074,44;R$ 0,00;R$ 44,63;R$ 575.029,81
