EMPRESA: JFK CONSTRUÇÕES LTDA
ID_EMPRESA: 2
PERIODO: 1999-05-09 ate 2027-11-01
Fonte: Sienge API REST ao vivo (/bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; bills=51088.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
20004;CASA BOULEVARD
20001;ESCRITÓRIO JFK
20002;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS
20003;REFORMA SALA - IFCE MARACANAÚ

CONTAS_A_PAGAR
Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
AMV COMBUSTIVEIS LTDA;CPF 1899;01/12/2025;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
M S PETROLEO LTDA;CPF 32919;01/12/2025;1;;;R$ 50,00;R$ 0,00;R$ 0,00;R$ 50,00
AUTO POSTO SALINAS I DERIVADOS DE PETROLEO LTDA;CPF 36144;01/12/2025;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
CASTRO CONSTRUCAO LTDA;FAT 15246;01/12/2025;1;;;R$ 739,00;R$ 0,00;R$ 0,00;R$ 739,00
CARAJAS MAT DE CONSTRUÇAO LTDA;FAT 15266;01/12/2025;1;;;R$ 910,58;R$ 0,00;R$ 0,00;R$ 910,58
IFCE MARACANAU;CPF 315844;10/12/2025;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
ALMEIDA COMERCIO DISTRIBUIDOR DE MATERIAIS DE CONSTRUCAO LTDA;PPC 15232;22/12/2025;1;;;R$ 1.014,63;R$ 0,00;R$ 0,00;R$ 1.014,63
CASTRO CONSTRUCAO LTDA;PPC 15246;23/12/2025;1;;;R$ 739,00;R$ 0,00;R$ 0,00;R$ 739,00
CASTRO CONSTRUCAO LTDA;REC 15246;23/12/2025;1;;;R$ 739,00;R$ 0,00;R$ 0,00;R$ 739,00
ALMEIDA COMERCIO DISTRIBUIDOR DE MATERIAIS DE CONSTRUCAO LTDA;BOL 286010;26/12/2025;3;;;R$ 1.014,65;R$ 0,00;R$ 0,00;R$ 1.014,65
CASTRO CONSTRUCAO LTDA;PPC 15261;29/12/2025;1;;;R$ 513,00;R$ 0,00;R$ 0,00;R$ 513,00
CASTRO CONSTRUCAO LTDA;REC 15261;29/12/2025;1;;;R$ 513,00;R$ 0,00;R$ 0,00;R$ 513,00
VALE ALIMENTAÇÃO;CO VA FABRICIO CASTRO;30/12/2025;1;;;R$ 200,00;R$ 0,00;R$ 0,00;R$ 200,00
CASTRO CONSTRUCAO LTDA;FAT 15261;30/12/2025;1;;;R$ 513,00;R$ 0,00;R$ 0,00;R$ 513,00
CARAJAS MAT DE CONSTRUÇAO LTDA;PPC 15266;30/12/2025;2;;;R$ 910,58;R$ 0,00;R$ 0,00;R$ 910,58
BELLA VITA INVESTIMENTOS LTDA;BOL QUADRA 07;01/01/2026;12;;;R$ 5.216,17;R$ 0,00;R$ 0,00;R$ 5.216,17
BELLA VITA INVESTIMENTOS LTDA;BOL QUADRA 7/8;01/01/2026;12;;;R$ 5.216,17;R$ 0,00;R$ 0,00;R$ 5.216,17
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA CONTABILIDADE JFK;01/01/2026;12;;;R$ 5.057,90;R$ 0,00;R$ 0,00;R$ 5.057,90
REDE TETRA JECV LTDA;CPF 1500;01/01/2026;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
AMV COMBUSTIVEIS LTDA;CPF 2062;01/01/2026;1;;;R$ 100,00;R$ 0,00;R$ 0,00;R$ 100,00
AMV COMBUSTIVEIS LTDA;CPF 2638;01/01/2026;1;;;R$ 40,00;R$ 0,00;R$ 0,00;R$ 40,00
LVM COMBUSTIVEIS LTDA;CPF 3679;01/01/2026;1;;;R$ 29,49;R$ 0,00;R$ 0,00;R$ 29,49
J MACHADO COMERCIO DE PETROLEO LTDA;CPF 3860;01/01/2026;1;;;R$ 439,75;R$ 0,00;R$ 0,00;R$ 439,75
LVM COMBUSTIVEIS LTDA;CPF 40312.;01/01/2026;1;;;R$ 66,66;R$ 0,00;R$ 0,00;R$ 66,66
BANCO SANTANDER (BRASIL) S.A.;DEBC TARIFA CESTA;01/01/2026;12;;;R$ 2.580,00;R$ 0,00;R$ 0,00;R$ 2.580,00
CAIXA ECONOMICA FEDERAL;DEBC TARIFA CESTA;01/01/2026;12;;;R$ 2.268,00;R$ 0,00;R$ 0,00;R$ 2.268,00
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;FAT 15305;01/01/2026;1;;;R$ 67,00;R$ 0,00;R$ 0,00;R$ 67,00
FRANCISCO GEAN FROTA MOREIRA;NFE 161745;01/01/2026;1;;;R$ 359,40;R$ 0,00;R$ 0,00;R$ 359,40
FRANCISCO GEAN FROTA MOREIRA;REC 000;01/01/2026;1;;;R$ 85,55;R$ 0,00;R$ 0,00;R$ 85,55
FRANCISCO GEAN FROTA MOREIRA;REC 0001;01/01/2026;4;;;R$ 134,00;R$ 0,00;R$ 0,00;R$ 134,00
FRANCISCO GEAN FROTA MOREIRA;REC 0002;01/01/2026;1;;;R$ 17,00;R$ 0,00;R$ 0,00;R$ 17,00
FRANCISCO GEAN FROTA MOREIRA;REC 0003;01/01/2026;2;;;R$ 63,00;R$ 0,00;R$ 0,00;R$ 63,00
FRANCISCO GEAN FROTA MOREIRA;REC 0004;01/01/2026;3;;;R$ 132,00;R$ 0,00;R$ 0,00;R$ 132,00
FRANCISCO GEAN FROTA MOREIRA;REC 163258;01/01/2026;1;;;R$ 190,00;R$ 0,00;R$ 0,00;R$ 190,00
