Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
AJUSTE DE CAIXA;REC 1;05/11/2024;1;;;R$ 1.158,03;R$ 0,00;R$ 0,00;R$ 1.158,03
TOTAL;;;;;;R$ 1.158,03;R$ 0,00;R$ 0,00;R$ 1.158,03
