EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
THEOROS ASSESSORIA LTDA;4;ESCRITORIO THEOROS;40001;R$ 0,01;R$ 14.848,25;R$ -14.848,24;-148482400,00%
THEOROS ASSESSORIA LTDA;4;TOTAL;4;R$ 0,01;R$ 14.848,25;R$ -14.848,24;-148482400,00%
