EMPRESA: AGORA NEGOCIOS IMOBILIARIOS E PARTICIPACOES LTDA
ID_EMPRESA: 6
PERIODO: 2019-01-01 ate 2026-05-06
Fonte: Sienge API REST ao vivo (accounts-statements, bills, bill budget-categories e cost-centers), sem uso do banco local. Arquivo atualizado incrementalmente de 20 em 20 registros.
Formula: Margem = MC / Receita. MC = Receita - Custos/Despesas.
Registros: accounts-statements=709; statements-applied=72; bills=407; bills-applied=407; bill-categories=416; cost-centers=6; batches-written=83.

OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
Sem obra identificada;0;R$ 11.836,67;R$ 3.563,21;R$ 8.273,46;69,90%
CASACOR - BANGALÔ REFÚGIO;60002;R$ 5.617,75;R$ 365.855,25;R$ -360.237,50;-6412,49%
CASACOR - LOFT;60003;R$ 5.213,97;R$ 86.295,19;R$ -81.081,22;-1555,08%
ESCRITORIO AGORA NEGOCIOS IMOBILIARIOS E PARTICIPACOES LTDA;60001;R$ 3.791,61;R$ 504.136,14;R$ -500.344,53;-13196,10%
BRASILIDADE URBANISMO - LARGO DOS VENTOS;60004;R$ 0,00;R$ 473.282,81;R$ -473.282,81;0,00%
CASAS DUPLEX DE 132,00 M² - TAPUIO;60006;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
VILLA SANTORINI;60005;R$ 0,00;R$ 1.768,00;R$ -1.768,00;0,00%

TOTAL;6;R$ 26.460,00;R$ 1.434.900,60;R$ -1.408.440,60;-5322,90%
