EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS CANINDE - SUBESTAÇÃO - GRUPO 02;212;R$ 14.707,14;R$ 921,88;R$ 13.785,26;93,73%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;TJCE - REFORMA TOTAL DO FÓRUM DA COMARCA DE AURORA - TRIBUNAL DE JUSTIÇA;152;R$ 11.839,86;R$ 54.145,55;R$ -42.305,69;-357,32%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;LICITAÇÃO;37;R$ 10.830,00;R$ 32.557,96;R$ -21.727,96;-200,63%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS ACARAÚ - SUBESTAÇÃO - GRUPO 02;210;R$ 8.783,19;R$ 761,88;R$ 8.021,31;91,33%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS JAGUARUANA - SUBESTAÇÃO - GRUPO 03;221;R$ 8.619,34;R$ 5.064,60;R$ 3.554,74;41,24%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - BOA VIAGEM;22;R$ 8.361,64;R$ 6.848,44;R$ 1.513,20;18,10%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - TIANGUA;65;R$ 8.139,15;R$ 4.760,86;R$ 3.378,29;41,51%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACOPIARA;61;R$ 6.186,52;R$ 741,98;R$ 5.444,54;88,01%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TABULEIRO DO NORTE;72;R$ 6.186,51;R$ 356,03;R$ 5.830,48;94,25%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ARACATI;56;R$ 6.147,41;R$ 467,88;R$ 5.679,53;92,39%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA E AMPLIAÇÃO DA ESCOLA EDMUNDO PEREIRA BARBOSA EMEIF - PARAIPABA;151;R$ 3.445,90;R$ 77.976,25;R$ -74.530,35;-2162,87%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - UMIRIM;63;R$ 3.040,54;R$ 29.925,99;R$ -26.885,45;-884,23%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONDOMINIO RESIDENCIAL EM AQUIRAZ DE 152 UNIDADES CASAS - GENESIS;248;R$ 2.832,27;R$ 290.654,42;R$ -287.822,15;-10162,23%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;GESTÃO DINAMICA;105;R$ 2.518,44;R$ 888.443,41;R$ -885.924,97;-35177,53%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ;15;R$ 1.748,30;R$ 0,00;R$ 1.748,30;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - TABULEIRO DO NORTE;12;R$ 1.580,99;R$ 13.932,70;R$ -12.351,71;-781,26%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ALMOXARIFADO DINÂMICA;28;R$ 714,05;R$ 124.627,31;R$ -123.913,26;-17353,50%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;COMERCIAL / VENDAS;125;R$ 625,00;R$ 4.724,03;R$ -4.099,03;-655,84%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;194;R$ 578,35;R$ 98.073,01;R$ -97.494,66;-16857,39%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - SOP - CONSTRUÇÃO DE CEI - CANINDE;255;R$ 437,91;R$ 45.831,08;R$ -45.393,17;-10365,87%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;LOGÍSTICA;42;R$ 253,00;R$ 0,00;R$ 253,00;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;EXPANSÃO IV DO IFCE - CAMPUS SALES - CIDADE CAMPOS SALES;244;R$ 145,20;R$ 0,00;R$ 145,20;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS UBAJARA;268;R$ 136,45;R$ 80.118,85;R$ -79.982,40;-58616,64%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ALMOXARIFADO PROVISORIO DO GENESIS;276;R$ 84,83;R$ 116.073,80;R$ -115.988,97;-136731,07%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MARACANAU;265;R$ 63,27;R$ 20.464,04;R$ -20.400,77;-32243,98%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SBM1B40 - CAMINHÃO GRANDE;179;R$ 56,83;R$ 2.449,50;R$ -2.392,67;-4210,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RAFAEL DE SÁ CRUZ;114;R$ 54,89;R$ 49.794,41;R$ -49.739,52;-90616,72%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA MUNICIPAL DE CAMOCIM - CONCLUSAO CRECHE;70;R$ 30,00;R$ 36.179,07;R$ -36.149,07;-120496,90%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE CENTRO COMERCIAL HARMONY - LIGHT STEEL FRAME;275;R$ 25,47;R$ 22.648,94;R$ -22.623,47;-88823,99%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SBS3J50 - CAMINHÃO PEQUENO;178;R$ 24,36;R$ 14.012,93;R$ -13.988,57;-57431,43%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;FIAT MOB (05) - SBA7A60;180;R$ 17,36;R$ 5.291,61;R$ -5.274,25;-30381,62%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;FIAT MOB (06) - SBB0E60;181;R$ 17,36;R$ 10.142,69;R$ -10.125,33;-58325,63%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRAS PARCERIAS TABULEIRO CRECHE;188;R$ 16,19;R$ 11.366,76;R$ -11.350,57;-70124,92%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ESCRITÓRIO NOVO;36;R$ 8,58;R$ 93.413,67;R$ -93.405,09;-1088637,41%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA MUNICIPAL DE CAUCAIA - CRECHES;26;R$ 4,49;R$ 194.906,45;R$ -194.901,96;-4340800,99%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;257;R$ 2,94;R$ 9.036,33;R$ -9.033,39;-307258,28%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 04 SAVEIRO GGA4519;77;R$ 0,84;R$ 13.140,60;R$ -13.139,76;-1558124,76%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 05 - SAVEIRO FWX1895;78;R$ 0,84;R$ 8.847,24;R$ -8.846,40;-1049014,07%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;QUADRA POLIESPORTIVA HENRIQUE DOMINGOS BRAGA SANDERS - PARACURU;160;R$ 0,81;R$ 6.930,61;R$ -6.929,80;-855531,05%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 02 - MONTANA POP-3760;75;R$ 0,75;R$ 4.605,69;R$ -4.604,94;-611230,12%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRA PARCERIA - IFCE;124;R$ 0,27;R$ 8.148,99;R$ -8.148,72;-3018044,44%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MAMOEIRO 01 - ASSARÉ;173;R$ 0,20;R$ 7.004,69;R$ -7.004,49;-3502247,19%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA;254;R$ 0,00;R$ 2.953,80;R$ -2.953,80;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ALMOXARIFADO ANEXO;103;R$ 0,00;R$ 135,00;R$ -135,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ALMOXARIFADO DINÂMICA - READEQUADO;288;R$ 0,00;R$ 62.194,90;R$ -62.194,90;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CAMPUS MAURITI PERTENCE A EXPANSÃO IV DO IFCE;294;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA;196;R$ 0,00;R$ 174.985,15;R$ -174.985,15;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;COMPLEXO ESCOLAR SETOR C1 EMEIF - PARAIPABA;155;R$ 0,00;R$ 72.611,03;R$ -72.611,03;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DA ESTRUTURA DOS 12 LEITOS DE UTI - COVID19 - CAUCAIA;101;R$ 0,00;R$ 1.738,24;R$ -1.738,24;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DA QUADRA SÃO PEDRO - PARACURU;145;R$ 0,00;R$ 1.346,50;R$ -1.346,50;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO BASÍLIO - PALMACIA CE;290;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO CURUPIRA - OCARA CE;197;R$ 0,00;R$ 1.648,62;R$ -1.648,62;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE JAPÃO - PALMACIA CE;291;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE SERENO - OCARA CE;204;R$ 0,00;R$ 1.648,63;R$ -1.648,63;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE VILA BU - PALMACIA CE;292;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO GADO DOS FERROS - PALMACIA CE;289;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO MARCOS - OCARA CE;199;R$ 0,00;R$ 1.403,62;R$ -1.403,62;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO PEDRO - OCARA CE;207;R$ 0,00;R$ 1.403,63;R$ -1.403,63;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - BOA VIAGEM - IFCE;253;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - LIMOEIRO DO NORTE - IFCE;251;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - QUIXADA - IFCE;250;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - UMIRIM;252;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 12 SALAS - CAMPOS SALES;157;R$ 0,00;R$ 1.249,18;R$ -1.249,18;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE MURO DE CONTENÇÃO NA LATERAL ESQUERDA DO CAMPO 03 - ACOPIARA;245;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (AÇUDE DE WALTIM) - ASSARE;193;R$ 0,00;R$ 24.994,00;R$ -24.994,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO LAGOA (RIACHO DO DIOGO) - ASSARE;174;R$ 0,00;R$ 27.154,35;R$ -27.154,35;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE INDIGENA TIPO III NA ALDEIA VILA VITORIA;208;R$ 0,00;R$ 5.580,44;R$ -5.580,44;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DO MERCADO PÚBLICO - VÁRZEA ALEGRE;109;R$ 0,00;R$ 125.642,48;R$ -125.642,48;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO ESTÁDIO MUNICIPAL - PREFEITURA DE MORRINHOS;120;R$ 0,00;R$ 16.945,26;R$ -16.945,26;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB - FINALIZADA;192;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONTRUÇÃO DE 04 PRAÇAS - MORRINHOS;119;R$ 0,00;R$ 34.393,73;R$ -34.393,73;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CRATO - CASA DE FARINHA PSJ;90;R$ 0,00;R$ 15.000,00;R$ -15.000,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ENROCAMENTO EMERGENCIAL - CAUCAIA;108;R$ 0,00;R$ 119.053,14;R$ -119.053,14;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ESCOLAS - CAUCAIA;115;R$ 0,00;R$ 8.033,00;R$ -8.033,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;EXECUÇÃO DE PRÉDIO EDUCACIONAL/RESIDENCIAL - ACOPIARA;246;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;EXPANSÃO IV DO IFCE - CAMPUS CASCAVEL - CIDADE CASCAVEL;249;R$ 0,00;R$ 31.234,18;R$ -31.234,18;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;HILUX PNR 1985;81;R$ 0,00;R$ 2.326,80;R$ -2.326,80;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS ACOPIARA - SUBESTAÇÃO - GRUPO 04;239;R$ 0,00;R$ 761,88;R$ -761,88;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS CEDRO - SUBESTAÇÃO GRUPO 04;240;R$ 0,00;R$ 761,88;R$ -761,88;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS CRATO - SUBESTAÇÃO - GRUPO 04;241;R$ 0,00;R$ 22.161,88;R$ -22.161,88;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS GUARAMIRANGA - SUBESTAÇÃO - GRUPO 01;229;R$ 0,00;R$ 1.124,56;R$ -1.124,56;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS MOMBAÇA - SUBESTAÇÃO - GRUPO 04;243;R$ 0,00;R$ 2.456,08;R$ -2.456,08;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS REITORIA - SUBESTAÇÃO;237;R$ 0,00;R$ 8.182,30;R$ -8.182,30;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - SERVIÇOS DE INSTALAÇÃO DE ALAMBRADOS E TABELA DE BASQUETE;167;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAMOCIM;2;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - CAUCAIA;6;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - MORADA NOVA;7;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TABULEIRO DO NORTE;8;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TAUÁ;3;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - TIANGUÁ;4;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO ESPAÇO DE VIVÊNCIA - UBAJARA;5;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ACARAU;67;R$ 0,00;R$ 322,72;R$ -322,72;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BOA VIAGEM;51;R$ 0,00;R$ 515,96;R$ -515,96;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CANINDE;93;R$ 0,00;R$ 201,45;R$ -201,45;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CEDRO;57;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS CRATO;94;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS GUARAMIRANGA;88;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS IGUATU;84;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS ITAPIPOCA;53;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARIBE;58;R$ 0,00;R$ 975,92;R$ -975,92;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARUANA;106;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JUAZEIRO DO NORTE;59;R$ 0,00;R$ 233,94;R$ -233,94;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS LIMOEIRO;98;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARANGUAPE;47;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MORADA NOVA;60;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PARACURU;48;R$ 0,00;R$ 515,96;R$ -515,96;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS PECEM;66;R$ 0,00;R$ 27.633,64;R$ -27.633,64;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS POLO;86;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS QUIXADA;64;R$ 0,00;R$ 11.000,00;R$ -11.000,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS SOBRAL;69;R$ 0,00;R$ 2.968,79;R$ -2.968,79;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TAUA;54;R$ 0,00;R$ 88,78;R$ -88,78;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS TIANGUA;68;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UBAJARA;55;R$ 0,00;R$ 14.685,92;R$ -14.685,92;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS UMIRIM;50;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO- CAMPUS CAUCAIA;44;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - ARACATI;11;R$ 0,00;R$ 335,01;R$ -335,01;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - CAUCAIA;43;R$ 0,00;R$ 40.645,41;R$ -40.645,41;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - FORTALEZA;100;R$ 0,00;R$ 4.220,00;R$ -4.220,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - HORIZONTE;14;R$ 0,00;R$ 39,94;R$ -39,94;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - JAGUARIBE;29;R$ 0,00;R$ 10.744,14;R$ -10.744,14;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - JAGUARUANA;18;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - LIMOEIRO DO NORTE;24;R$ 0,00;R$ 30.763,96;R$ -30.763,96;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - MARANGUAPE;123;R$ 0,00;R$ 7.327,11;R$ -7.327,11;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - PARACURU;13;R$ 0,00;R$ 49,93;R$ -49,93;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - QUIXADÁ 2;34;R$ 0,00;R$ 4.410,00;R$ -4.410,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - SOBRAL;97;R$ 0,00;R$ 12.637,57;R$ -12.637,57;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ - CAMPUS LIMOEIRO;89;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ITAITINGA - CONST. QUADRA COBERTA COM VESTIÁRIO;30;R$ 0,00;R$ 226,50;R$ -226,50;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;KHARCARAD CONSULTORIA E SOFTWARES LTDA;202;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;L200  PWN 5994;82;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;MANUTENÇÃO PREDIAL SECRETARIA DE SAÚDE - CAUCAIA.;163;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;MANUTENÇÃO SEC. SAÚDE - CAUCAIA;118;R$ 0,00;R$ 43,38;R$ -43,38;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;MONTANA PRETA 0RR-5194;74;R$ 0,00;R$ 3.009,00;R$ -3.009,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRAS AREA CAUCAIA;130;R$ 0,00;R$ 46.173,86;R$ -46.173,86;0,00%
