EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS PARACURU - IFCE;281;R$ 487.535,68;R$ 306.968,39;R$ 180.567,29;37,04%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - FORTALEZA;9;R$ 486.813,38;R$ 78.481,17;R$ 408.332,21;83,88%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS TIANGUÁ - IFCE;283;R$ 471.014,13;R$ 234.181,69;R$ 236.832,44;50,28%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE;270;R$ 466.222,68;R$ 6.242,88;R$ 459.979,80;98,66%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE BLOCO DE 04 (QUATRO) SALAS DE AULA NA REITORIA - STEEL FRAME;205;R$ 418.495,95;R$ 81.712,70;R$ 336.783,25;80,47%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB;269;R$ 321.715,65;R$ 410.406,08;R$ -88.690,43;-27,57%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - TABULEIRO DO NORTE;267;R$ 304.214,16;R$ 48.524,10;R$ 255.690,06;84,05%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DE ESCOLA;131;R$ 300.362,24;R$ 0,00;R$ 300.362,24;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - TABULEIRO DO NORTE;110;R$ 289.890,18;R$ 31.751,63;R$ 258.138,55;89,05%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA;260;R$ 285.202,26;R$ 3.663,24;R$ 281.539,02;98,72%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;HOSPITAL MUNICIPAL EDVAR SILVEIRA - MORRINHOS;21;R$ 281.064,91;R$ 94.907,90;R$ 186.157,01;66,23%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DE ESTRUTURA;134;R$ 278.919,75;R$ 97,78;R$ 278.821,97;99,96%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE QUADRAS - TABULEIRO DO NORTE;122;R$ 269.459,70;R$ 54.484,04;R$ 214.975,66;79,78%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;259;R$ 265.059,36;R$ 1.337,75;R$ 263.721,61;99,50%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;MANUTENÇÃO NO MUNICÍPIO DE PARACURU - CE;129;R$ 260.934,31;R$ 112.407,86;R$ 148.526,45;56,92%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE UM ESPAÇO EDUCATIVO 12 SALAS DE AULA - JUCAS;170;R$ 247.084,84;R$ 19.903,77;R$ 227.181,07;91,94%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO PEDRA PETRA- ASSARE;175;R$ 245.755,01;R$ 10.117,43;R$ 235.637,59;95,88%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MORADA NOVA;266;R$ 221.067,74;R$ 24.143,31;R$ 196.924,43;89,08%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CENTRO DE EDUCAÇÃO INFANTIL FRANCISCA DOS SANTOS BARROSO - PARACURU;150;R$ 214.584,31;R$ 63.460,40;R$ 151.123,91;70,43%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CRATEUS;264;R$ 210.085,48;R$ 108.996,61;R$ 101.088,87;48,12%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE PASSAGEM MOLHADA - SÍTIO MARTINS - ASSARÉ;172;R$ 206.687,82;R$ 16.817,14;R$ 189.870,68;91,86%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS CAUCAIA - IFCE;280;R$ 204.582,99;R$ 267.014,63;R$ -62.431,64;-30,52%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;URBANIZAÇÃO DO AÇUDE DO JUNCO - CONSTRUÇÃO DE FONTE GRANJEIRO;144;R$ 204.115,19;R$ 103.887,46;R$ 100.227,73;49,10%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 06 SALAS - CAMPOS SALES;143;R$ 201.307,46;R$ 14.723,51;R$ 186.583,95;92,69%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;2 - CONSTRUÇÃO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CAMOCIM;263;R$ 193.245,34;R$ 88.343,64;R$ 104.901,70;54,28%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE ESCOLA 12 SALAS - SENADOR POMPEU;148;R$ 180.882,63;R$ 75.454,72;R$ 105.427,91;58,29%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - URBANIZAÇÃO CAMPUS UNILAB;261;R$ 180.361,55;R$ 2.215,94;R$ 178.145,60;98,77%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS MORADA NOVA - IFCE;286;R$ 172.366,60;R$ 271.557,49;R$ -99.190,89;-57,55%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS IGUATU - SUBESTAÇÃO - GRUPO 04;238;R$ 170.494,40;R$ 4.211,88;R$ 166.282,52;97,53%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;1 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;258;R$ 168.557,68;R$ 5.484,94;R$ 163.072,74;96,75%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;URBANIZAÇÃO ENTRADA DA CIDADE - GRANJEIRO;165;R$ 165.762,64;R$ 10.579,78;R$ 155.182,86;93,62%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA;201;R$ 148.319,25;R$ 196.219,44;R$ -47.900,19;-32,30%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;4 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA;185;R$ 148.088,44;R$ 110.456,80;R$ 37.631,64;25,41%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS HORIZONTE - IFCE;282;R$ 146.512,34;R$ 408.908,86;R$ -262.396,52;-179,10%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS CAMOCIM - IFCE;279;R$ 130.531,88;R$ 469.713,47;R$ -339.181,59;-259,85%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - CANINDÉ;38;R$ 127.776,54;R$ 11.996,88;R$ 115.779,66;90,61%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE ESPAÇO EDUCATIVO RURAL COM 06 SALAS DE AULA - SENADOR POMPEU;177;R$ 126.229,28;R$ 7.930,10;R$ 118.299,18;93,72%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - MARACANAU;99;R$ 124.411,52;R$ 0,00;R$ 124.411,52;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ESCOLA MUNICIPAL ALDENOR PEREIRA DOS SANTOS EMEIF - PARAIPABA;154;R$ 123.023,62;R$ 65.646,82;R$ 57.376,80;46,64%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;BANCOS (CEF, ITAU, BRADESCO E BNB);999;R$ 121.825,69;R$ 225.157,89;R$ -103.332,20;-84,82%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS SOBRAL - SUBESTAÇÃO - GRUPO 02;215;R$ 110.078,29;R$ 1.361,88;R$ 108.716,41;98,76%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS PECEM - SUBESTAÇÃO - GRUPO 01;234;R$ 107.740,89;R$ 1.124,56;R$ 106.616,33;98,96%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;DUPLICAÇÃO DA ENTRADA DA CIDADE - TABULEIRO DO NORTE;112;R$ 106.408,26;R$ 101.063,31;R$ 5.344,95;5,02%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DOS CEMITÉRIOS PÚBLICOS EM CAUCAIA - CE;111;R$ 104.627,46;R$ 12.233,82;R$ 92.393,64;88,31%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REGULARIZAÇÃO;138;R$ 104.385,87;R$ 0,00;R$ 104.385,87;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - IGUATU;95;R$ 102.483,77;R$ 48.701,04;R$ 53.782,73;52,48%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - MORADA NOVA;23;R$ 99.949,78;R$ 71.205,56;R$ 28.744,22;28,76%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PRAÇA MUNICIPAL EDWAR SILVEIRA - MORRINHOS;39;R$ 98.407,10;R$ 1.402,27;R$ 97.004,83;98,58%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - ACARAU;96;R$ 90.906,52;R$ 36.410,62;R$ 54.495,90;59,95%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS ITAPIPOCA - SUBESTAÇÃO - GRUPO 02;214;R$ 88.786,16;R$ 8.465,82;R$ 80.320,34;90,46%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DE FÓRUM VELHO - ADEQUAÇÃO DE GABINETE - MARACANAÚ;91;R$ 86.576,45;R$ 70.865,42;R$ 15.711,03;18,15%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS TABULEIRO DO NORTE - SUBESTAÇÃO - GRUPO 03;225;R$ 84.772,09;R$ 761,88;R$ 84.010,21;99,10%
