EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
GENESIS EMPREENDIMENTOS SPE LTDA;7;Sem obra identificada;0;R$ 698.966,63;R$ 255.276,81;R$ 443.689,82;63,48%
GENESIS EMPREENDIMENTOS SPE LTDA;7;CONDOMINIO RESIDENCIAL EM AQUIRAZ DE 152 UNIDADES CASAS - GENESIS;70002;R$ 6.107,19;R$ 4.752.987,66;R$ -4.746.880,47;-77726,10%
GENESIS EMPREENDIMENTOS SPE LTDA;7;ESCRITORIO GENESIS EMPREENDIMENTOS SPE LTDA;70001;R$ 0,02;R$ 43.344,26;R$ -43.344,24;-216721200,00%
GENESIS EMPREENDIMENTOS SPE LTDA;7;CONDOMINIO GENESIS;70003;R$ 0,00;R$ 31.992,00;R$ -31.992,00;0,00%
GENESIS EMPREENDIMENTOS SPE LTDA;7;TOTAL;7;R$ 705.073,84;R$ 5.083.600,73;R$ -4.378.526,89;-621,00%
