EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
JFK CONSTRUÇÕES LTDA;2;Sem obra identificada;0;R$ 1.652.400,07;R$ 18.499,35;R$ 1.633.900,72;98,88%
JFK CONSTRUÇÕES LTDA;2;CASA BOULEVARD;20004;R$ 197,17;R$ 135.527,57;R$ -135.330,40;-68636,41%
JFK CONSTRUÇÕES LTDA;2;REFORMA SALA - IFCE MARACANAÚ;20003;R$ 0,10;R$ 26.856,56;R$ -26.856,46;-26856460,00%
JFK CONSTRUÇÕES LTDA;2;ESCRITÓRIO JFK;20001;R$ 0,00;R$ 66.724,84;R$ -66.724,84;0,00%
JFK CONSTRUÇÕES LTDA;2;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS;20002;R$ 0,00;R$ 55,93;R$ -55,93;0,00%
JFK CONSTRUÇÕES LTDA;2;TOTAL;2;R$ 1.652.597,34;R$ 247.664,25;R$ 1.404.933,09;85,01%
